"last_reported","station_id","is_installed","is_returning","is_renting","dock_available","mechanical_available","electric_available"
1658387079,213688169,1,1,1,31,2,2
1658387366,653222953,1,1,1,3,5,21
1658387325,516709288,1,1,1,12,2,6
1658387247,36255,1,1,1,19,0,1
1658387339,37815204,1,1,1,7,18,2
1658387370,100769544,1,1,1,41,0,2
1658387398,85002689,1,1,1,40,12,6
1658387342,123095125,1,1,1,55,3,1
1658387399,120827885,1,1,1,0,5,6
1658387400,251039991,1,1,1,18,4,1
1658387221,37874517,1,1,1,15,3,3
1658387382,66491398,1,1,1,24,18,4
1658386970,210403080,1,1,1,21,0,1
1658387154,210561800,1,1,1,12,3,2
1658387308,209063434,1,1,1,17,9,2
1658387019,94555589,1,1,1,15,11,1
1658387325,244498842,1,1,1,36,3,8
1658387160,210405211,1,1,1,17,1,2
1658387249,43195240,1,1,1,17,5,3
1658387107,501862076,1,1,1,19,0,3
1658387362,54000559,1,1,1,30,6,1
1658387374,207633746,1,1,1,32,6,12
1658387191,85043758,1,1,1,32,1,3
1658387296,210566542,1,1,1,39,13,8
1658387387,437597018,1,1,1,25,0,2
1658387388,210565680,1,1,1,22,6,7
1658386887,210397939,1,1,1,14,2,1
1658387389,82405965,1,1,1,14,19,9
1658387313,213682736,1,1,1,46,1,2
1658387346,80101533,1,1,1,26,5,3
1658387329,54000581,1,1,1,17,13,3
1658386987,13105968,1,1,1,16,2,1
1658386890,653208733,1,1,1,38,0,0
1658387323,27415224,1,1,1,2,24,6
1658387034,907054879,1,1,1,5,12,3
1658387394,129094535,1,1,1,36,2,2
1658387400,54000612,1,1,1,31,7,3
1658387363,128986726,1,1,1,5,13,15
1658386874,599135701,1,1,1,42,1,1
1658387396,102747146,1,1,1,12,13,1
1658387255,2515403527,1,1,1,24,3,3
1658387234,653132534,1,1,1,3,15,6
1658387270,506455295,1,1,1,2,9,4
1658387377,1057149522,1,1,1,6,13,2
1658387402,210567545,1,1,1,12,4,1
1658387097,2515085147,1,1,1,16,2,1
1658387221,653197324,1,1,1,14,5,5
1658387347,210408693,1,1,1,21,4,1
1658387170,42950839,1,1,1,18,0,0
1658387315,14813797734,1,1,1,14,12,1
1658387361,88230992,1,1,1,27,0,2
1658387069,499303158,1,1,1,2,16,11
1658387065,27415302,1,1,1,23,2,0
1658387377,27414512,1,1,1,28,4,8
1658387013,210580039,1,1,1,14,2,0
1658387394,49474389,1,1,1,1,7,15
1658387395,128940135,1,1,1,1,5,14
1658387318,35149611,1,1,1,9,4,1
1658387352,1057296253,1,1,1,1,52,8
1658387096,210570888,1,1,1,3,8,11
1658387356,129107656,1,1,1,22,0,1
1658387271,1057228658,1,1,1,8,8,5
1658387282,230873471,1,1,1,15,3,3
1658386899,507934805,1,1,1,23,0,2
1658387259,205047993,1,1,1,43,1,1
1658387318,39799329,1,1,1,23,7,3
1658387383,129164969,1,1,1,40,2,4
1658387250,128989986,1,1,1,8,10,10
1658387379,129004826,1,1,1,17,0,0
1658387182,518825709,1,1,1,19,0,2
1658387301,128930462,1,1,1,0,11,16
1658387238,911767210,1,1,1,18,2,2
1658387228,54000565,1,1,1,22,3,1
1658387099,210586093,1,1,1,22,0,0
1658387403,7254,1,1,1,20,1,3
1658387327,369644630,1,1,1,27,3,1
1658387335,214114469,1,1,1,5,19,8
1658387353,128887067,1,1,1,7,6,5
1658387382,55927887,1,1,1,1,33,2
1658387393,210574471,1,1,1,10,0,3
1658387008,72765603,1,1,1,18,0,2
1658387223,210582921,1,1,1,1,7,6
1658387245,43255030,1,1,1,40,4,3
1658387403,129025451,1,1,1,25,0,2
1658387365,128920403,1,1,1,13,5,8
1658387139,323616530,1,1,1,13,2,1
1658387170,208795867,1,1,1,17,0,0
1658387297,1062192012,1,1,1,3,2,29
1658387402,6296,1,1,1,11,3,3
1658387348,521393180,1,1,1,13,3,2
1658387394,576188379,1,1,1,22,0,1
1658387369,128915891,1,1,1,2,21,7
1658387235,82567101,1,1,1,16,4,2
1652812373,102290754,1,0,0,24,0,0
1658387106,457813746,1,1,1,15,0,0
1658387224,128882438,1,1,1,15,16,6
1658387319,50191171,1,1,1,22,0,0
1658387235,129014600,1,1,1,3,16,14
1658387390,3906153622,1,1,1,12,0,4
1658387366,129087587,1,1,1,35,1,2
1658387338,213693511,1,1,1,20,1,1
1658387396,82379648,1,1,1,0,11,19
1658387390,66491397,1,1,1,2,43,12
1658387256,907081682,1,1,1,0,0,0
1658387381,230877798,1,1,1,33,0,0
1658387242,2515995748,1,1,1,0,4,18
1658387244,27363162,1,1,1,23,0,0
1658387335,129021753,1,1,1,16,0,1
1658387400,210740080,1,1,1,45,1,2
1658387334,54000569,1,1,1,35,2,1
1658386963,80216231,1,1,1,34,4,1
1658387151,336511521,1,1,1,17,0,0
1658387350,129043651,1,1,1,7,11,3
1658387271,82562556,1,1,1,18,26,2
1658387402,129048000,1,1,1,33,7,6
1658387052,1062250686,1,1,1,27,4,5
1658387339,261987383,1,1,1,24,0,1
1658387334,813544903,1,1,1,25,1,2
1658387147,126050442,1,1,1,19,2,1
1658387323,27363489,1,1,1,25,0,1
1658387302,39296638,1,1,1,0,21,14
1658387297,205938683,1,1,1,32,7,14
1658387166,210399835,1,1,1,36,1,2
1658386986,1057324291,1,1,1,48,6,1
1658387096,102324803,1,1,1,38,0,1
1658387271,101763163,1,1,1,0,7,5
1658387290,653133605,1,1,1,8,30,6
1658387293,3906094706,1,1,1,8,12,12
1658387396,27414578,1,1,1,13,4,0
1658387399,508042092,1,1,1,0,31,3
1658387354,42603855,1,1,1,10,2,5
1658387378,818302209,1,1,1,8,15,25
1658387361,13718041,1,1,1,21,1,2
1658387182,265464297,1,1,1,49,0,1
1658387363,1057392676,1,1,1,2,20,12
1658387215,102309973,1,1,1,34,4,2
1658387383,532054446,1,1,1,51,4,1
1658387326,129034587,1,1,1,15,0,1
1658387333,314829539,1,1,1,21,11,15
1658387316,586539770,1,1,1,11,6,5
1658387392,3906335682,1,1,1,16,2,5
1658387394,583539396,1,1,1,22,0,1
1658387336,101753100,1,1,1,0,6,10
1658387092,27415466,1,1,1,19,0,2
1658387354,52393,1,1,1,43,4,3
1658387330,81081358,1,1,1,37,1,1
1658387389,66491385,1,1,1,22,0,1
1658387369,209057581,1,1,1,17,0,1
1658387125,66491389,1,1,1,41,10,5
1658387245,210749865,1,1,1,14,2,1
1658387212,535500589,1,1,1,29,24,10
1658387301,597245295,1,1,1,31,0,4
1658387320,213684314,1,1,1,21,0,1
1658387213,235513935,1,1,1,26,1,0
1658387381,27206194,1,1,1,18,1,0
1658387310,102323152,1,1,1,18,1,0
1658387257,129060764,1,1,1,26,1,1
1658387360,828134511,1,1,1,20,8,2
1658387022,586649404,1,1,1,0,9,15
1658387093,596813170,1,1,1,9,0,6
1658387221,596872103,1,1,1,30,0,0
1658387364,271426439,1,1,1,17,1,1
1658387220,27363187,1,1,1,44,0,1
1658387377,76199461,1,1,1,32,0,0
1658387402,230952057,1,1,1,4,21,7
1658387364,37815993,1,1,1,32,1,3
1658387397,88140066,1,1,1,43,10,12
1658387254,213683101,1,1,1,15,2,1
1658387225,213684750,1,1,1,30,1,2
1658387214,129067920,1,1,1,39,0,0
1658387299,2515049357,1,1,1,10,7,6
1658387211,27364743,1,1,1,19,1,0
1658387184,102314792,1,1,1,27,1,4
1658387228,35447568,1,1,1,20,0,2
1658387308,129038848,1,1,1,5,6,5
1658387357,27415736,1,1,1,21,6,2
1658387233,583178525,1,1,1,15,2,2
1658387308,2514995690,1,1,1,19,7,4
1658387324,82387816,1,1,1,10,6,16
1658387391,213685090,1,1,1,27,0,1
1658387325,301841024,1,1,1,24,2,3
1658387392,66491402,1,1,1,31,0,1
1658387334,213679512,1,1,1,22,3,0
1658387304,588452142,1,1,1,14,2,5
1658387378,85147829,1,1,1,13,8,5
1658387246,213681356,1,1,1,17,1,1
1658387259,2515351285,1,1,1,24,1,1
1658387401,213685514,1,1,1,9,12,2
1658387103,102329800,1,1,1,25,1,0
1658387391,54000625,1,1,1,27,1,4
1658387349,572566600,1,1,1,15,5,10
1658387302,213911772,1,1,1,41,6,10
1658387278,129132870,1,1,1,18,3,2
1658387332,620403530,1,1,1,15,2,3
1658387393,66491378,1,1,1,26,24,1
1658387236,631773910,1,1,1,6,19,0
1658387202,1765749389,1,1,1,2,5,6
1658387087,611152693,1,1,1,26,1,1
1658387376,235241110,1,1,1,23,32,6
1658387364,613737748,1,1,1,11,13,2
1658387207,41498023,1,1,1,19,1,3
1658387378,1062671597,1,1,1,17,1,6
1658387384,213945171,1,1,1,22,0,0
