"station_code","mechanical_available","electric_available"
"11104",5,0
"9020",0,1
"12109",0,17
"10013",0,3
"14111",2,2
"13007",3,10
"5110",2,1
"33006",5,8
"25006",1,0
"17026",1,3
"15047",0,0
"17025",0,0
"13101",3,19
"14108",1,11
"15026",6,16
"8050",20,8
"20143",0,0
"16138",3,7
"21216",1,6
"15068",6,2
"22207",0,17
"7004",3,4
"17048",2,1
"44017",9,15
"8048",8,4
"14013",2,9
"13118",2,50
"7011",4,8
"18134",5,6
"14002",2,2
"10115",1,0
"10029",0,0
"5005",3,0
"10161",1,3
"7018",1,3
"5022",3,6
"6001",4,8
"17008",3,4
"15112",2,0
"19015",0,1
"26003",0,2
"17004",0,0
"19003",1,1
"8036",9,7
"31024_relais",0,0
"18107",0,1
"92007",7,3
"9028",0,1
"10107",1,1
"19026",1,0
"11002",4,12
"11023",7,9
"31009",2,0
"11047",2,12
"17030",1,2
"8034",12,17
"19043",2,8
"5032",3,2
"14020",2,1
"43401",14,28
"26002",10,21
"19101",2,1
"46002",10,23
"11113",4,5
"41302",18,5
"21212",8,6
"33017",4,7
"15042",4,7
"20112",0,1
"18011",4,3
"43008",1,2
"19120",0,0
"19103",1,0
"14138",4,8
"46003",15,9
"21312",0,1
"10024",2,0
"42014",4,20
"8017",7,4
"15106",1,7
"14008",0,2
"5124",9,6
"14106",0,0
"22406",8,3
"35002",6,9
"31102",0,0
"8054",4,9
"21209",3,2
"18022",8,0
"14012",1,2
"21005",8,5
"14124",3,1
"15133",1,4
"15110",5,17
"21006",1,6
"21015",1,13
"41404",2,19
"48010",1,4
"22203",1,1
"42021",6,16
"11030",1,2
"1119",9,12
"35020",0,0
"25003",7,11
"20115",1,1
"31003",4,4
"22402",2,1
"21008",2,4
"11039",3,4
"17031",3,3
"11026",3,1
"32604",0,0
"9010",0,8
"15021",0,2
"11024",6,9
"22003",4,8
"16038",5,8
"41601",2,3
"19032",1,1
"16136",2,13
"21701",7,4
"8057",2,0
"24001",18,7
"22016",2,6
"8025",10,24
"32302",2,0
"10014",1,1
"15046",0,3
"17028",4,2
"42302",2,8
"1002",5,10
"19029",1,0
"9032",14,15
"32003",0,2
"21104",4,10
"19016",3,0
"12009",3,2
"42504",5,4
"20111",1,0
"31010",1,2
"5006",1,0
"11004",7,21
"7005",2,21
"11036",1,9
"18012",2,0
"19125",7,0
"14036",3,2
"18201",8,9
"11007",6,24
"42029",4,6
"6013",1,8
"26007",1,0
"17102",1,5
"16111",3,16
"7015",2,9
"19005",3,0
"14021",3,2
"15025",0,8
"35018",2,0
"18110",1,0
"32602",1,0
"12115",1,0
"41606",2,5
"17045",1,1
"43402",8,29
"33018",1,23
"11115",4,1
"21305",2,10
"16121",4,8
"14117",6,2
"18141",2,0
"24002",0,0
"17037",3,3
"33003",5,2
"20043",4,4
"5021",3,20
"25005",0,2
"19115",4,2
"14034",4,0
"32010",15,6
"16018",1,7
"12034",8,8
"7009",28,10
"33019",21,13
"15122",2,2
"12029",5,25
"16034",2,4
"19019",1,0
"21403",1,0
"42207",9,19
"12030",0,11
"5119",5,18
"35009",2,1
"31705",3,0
"13014",5,7
"20120",2,1
"23701",5,10
"14001",4,1
"31012",0,3
"15017",1,0
"15029",1,13
"5002",11,7
"18005",2,0
"18020",3,0
"20136",2,0
"43006",2,0
"14018",1,15
"20040",0,0
"8101",3,2
"23002",10,11
"14139",4,2
"13102",16,17
"14130",2,1
"10015",1,2
"16006",4,1
"34002",4,11
"10023",0,0
"12011",6,24
"21019",6,17
"6018",3,0
"20109",2,0
"6107",5,5
"15038",5,4
"18032",1,5
"44012",0,1
"17027",0,0
"31016",2,1
"51003",7,16
"13043",6,0
"9115",0,1
"22001",3,0
"17122",1,0
"20027",0,0
"26001",3,8
"6016",3,6
"11040",2,1
"41204",0,0
"16004",0,0
"17046",1,1
"47006",2,8
"19009",3,2
"18109",0,1
"18029",4,1
"16021",2,3
"9031",14,3
"15035",5,8
"9117",7,3
"18049",4,11
"31703",2,0
"11041",3,9
"35003",7,1
"35014",3,0
"11006",4,9
"16015",4,6
"15070",2,15
"12107",5,3
"14112",2,0
"9026",2,2
"18033",2,0
"11010",2,5
"16122",6,0
"15002",7,6
"32015",6,7
"5121",7,23
"1120",11,8
"11043",2,4
"32004",2,0
"16029",2,16
"8019",2,0
"18008",0,0
"13103",0,11
"42703",3,9
"14028",0,0
"20201",1,3
"13046",8,26
"12004",4,23
"4110",1,5
"7008",5,4
"17022",2,0
"7020",0,2
"6017",5,11
"15058",17,15
"12161",8,20
"19041",2,0
"13122",1,0
"20137",3,0
"10036",0,0
"31704",2,1
"19023",2,2
"32603",2,0
"2013",7,2
"8056",3,0
"18138",3,1
"45001",8,10
"14006",2,1
"13041",12,1
"9118",4,0
"10163",3,1
"2001",10,11
"18042",1,4
"20019",2,0
"7101",6,0
"18137",0,2
"12108",11,51
"31013",0,4
"32018",3,10
"5019",3,0
"11003",10,5
"15020",5,6
"19031",3,1
"1016",11,9
"8015",13,20
"16016",0,2
"7026",3,14
"14116",2,5
"31018",3,7
"47002",12,7
"33005",0,6
"2110",5,0
"1022",6,21
"11046",1,2
"5030",4,7
"11107",3,26
"20103",0,0
"2014",1,8
"16041",6,13
"4109",1,2
"23302",10,1
"6031",5,18
"2101",4,28
"12154",2,7
"10164",4,1
"8029",14,23
"9015",0,2
"11044",2,2
"17104",0,1
"23105",2,0
"19030",2,1
"22002",3,3
"35008",3,0
"13022",0,1
"20045",2,0
"16031",4,6
"12127",9,21
"12153",14,26
"5028",5,9
"17005",0,0
"12120",1,0
"22012",3,15
"18014",1,0
"12010",5,10
"48009",10,5
"4107",4,7
"18114",2,1
"44103",3,8
"21951",3,1
"22103",5,9
"20047",3,1
"22009",6,10
"13117",13,0
"7024",1,4
"31026",0,0
"17001",2,3
"12129",3,9
"21120",0,0
"19113",1,0
"35004",1,13
"8011",0,1
"13021",4,2
"13020",10,15
"11031",4,1
"35011",4,6
"19036",8,1
"15019",4,2
"15131",6,7
"5029",0,0
"20002",0,0
"16014",2,2
"9036",2,1
"10152",3,2
"21118",2,2
"8008",4,8
"21203",2,8
"5034",1,40
"19025",5,0
"7111",0,0
"21708",2,1
"10017",1,4
"13048",3,5
"11109",2,6
"21316",2,1
"31021",2,0
"44002",5,9
"16115",1,2
"21307",1,23
"21030",3,12
"21031",2,7
"21702",0,0
"15043",3,2
"20009",4,1
"17033",0,0
"11032",8,3
"10012",1,1
"16003",3,1
"42003",7,11
"32301",3,1
"12043",7,28
"21219",4,7
"22008",6,2
"31025",0,2
"13128",4,10
"13011",2,1
"42701",6,0
"20108",3,0
"4003",4,5
"16030",3,24
"8020",0,0
"32001",0,0
"17023",3,5
"19108",5,10
"4016",12,32
"10105",5,5
"13109",0,13
"4002",3,13
"13106",3,0
"15030",3,32
"35007",4,1
"47001",1,41
"44101",9,30
"21306",13,28
"8037",3,8
"18038",4,5
"92001",4,0
"23004",3,3
"43010",3,0
"16002",3,0
"23010",9,5
"15057",9,23
"15005",3,9
"19128",3,3
"18006",6,1
"6027",1,4
"9027",1,1
"17108",7,9
"4020",10,11
"15022",3,7
"33015",4,13
"9024",12,7
"15311",6,3
"18041",2,2
"44016",7,18
"44005",7,7
"17119",2,0
"7017",3,0
"15071",4,17
"4021",7,17
"32601",0,0
"15102",2,10
"33016",4,6
"6012",2,3
"13009",1,3
"21501",5,6
