station_code;name;latitude;longitude;capacity;is_installed;is_renting;is_returning;town
16107;Benjamin Godard - Victor Hugo;48.865983;2.275725;35;1;1;1;Paris
11104;Charonne - Robert et Sonia Delauney;48.85590756;2.392570674;20;1;1;1;Paris
31104;Mairie de Rosny-sous-Bois;48.87125652;2.486580759;30;1;1;1;Rosny-sous-Bois
12109;Mairie du 12ème;48.84085531;2.387554944;30;1;1;1;Paris
9020;Toudouze - Clauzel;48.87929592;2.337360084;21;1;1;1;Paris
5001;Harpe - Saint-Germain;48.85151882;2.343670316;45;1;1;1;Paris
10013;Alibert - Jemmapes;48.87104405;2.366104462;60;1;1;1;Paris
14014;Jourdan - Stade Charléty;48.81942833;2.343335375;60;1;1;1;Paris
8026;Messine - Place Du Pérou;48.87544803;2.315508019;12;1;1;1;Paris
14111;Cassini - Denfert-Rochereau;48.83752584;2.336035408;25;1;1;1;Paris
6003;Saint-Sulpice;48.85165383;2.330807783;21;1;1;1;Paris
13007;Le Brun - Gobelins;48.83509279;2.353468135;48;1;1;1;Paris
5110;Lacépède - Monge;48.84389287;2.351966389;23;1;1;1;Paris
6108;Saint-Romain - Cherche-Midi;48.84708159;2.321374789;17;1;1;1;Paris
42016;Pierre et Marie Curie - Maurice Thorez;48.81580226;2.376804985;27;1;1;1;Ivry-sur-Seine
33006;André Karman - République;48.91039876;2.385135591;31;1;1;1;Aubervilliers
41301;Bois de Vincennes - Gare;48.83602224;2.470833995;50;1;1;1;Nogent-sur-Marne
6021;Beaux-Arts - Bonaparte;48.85645199;2.334851883;20;1;1;1;Paris
21010;Silly - Galliéni;48.83558384;2.232550085;25;1;1;1;Boulogne-Billancourt
25006;Place Nelson Mandela;48.86209094;2.196576297;22;1;1;1;Rueil-Malmaison
17038;Grande Armée - Brunel;48.876116;2.288124;62;1;1;1;Paris
17026;Jouffroy d'Abbans - Wagram;48.8819733;2.301132157;40;1;1;1;Paris
17041;Guersant - Gouvion-Saint-Cyr;48.88287775;2.287667371;36;1;1;1;Paris
5016;Thouin - Cardinal Lemoine;48.84504717;2.349464785;17;1;1;1;Paris
7003;Square Boucicaut;48.85129643;2.32506182;60;1;1;1;Paris
11025;Froment - Bréguet;48.85704145;2.372894703;43;1;1;1;Paris
7001;Invalides - Duroc;48.84779247;2.316192091;29;1;1;1;Paris
17025;Chazelles - Courcelles;48.8794066;2.303445563;35;1;1;1;Paris
7002;Vaneau - Sèvres;48.84856323;2.320421826;35;1;1;1;Paris
13101;Croulebarde - Corvisart;48.83098166;2.348164693;34;1;1;1;Paris
15047;Morillons - Dantzig;48.8331015;2.299380004;52;1;1;1;Paris
14108;Le Brix et Mesmin - Jourdan;48.82234097;2.327861653;21;1;1;1;Paris
15026;Bir Hakeim;48.85384405;2.289705348;33;1;1;1;Paris
31024;Romainville - Vaillant-Couturier;48.86785;2.446748;38;1;1;1;Montreuil
17044;Porte de Saint-Ouen - Bessières;48.89792241;2.32851451;42;1;1;1;Paris
47007;Liberté - Vert-de-Maisons;48.79014781;2.432862818;20;1;1;1;Maisons-Alfort
19033;Cambrai - Benjamin Constant;48.89594737;2.381133802;43;1;1;1;Paris
43002;Lagny - Victor Basch;48.84884147;2.426325419;26;1;1;1;Vincennes
8050;Boétie - Ponthieu;48.87141728;2.307678759;33;1;1;1;Paris
22207;Rond-point du Dr Albert Schweitzer;48.78980919;2.314394005;22;1;1;1;Bagneux
20143;Ramponeau - Belleville;48.87103114;2.379056852;44;1;1;1;Paris
13030;Italie - Tolbiac;48.82557229;2.357617132;21;1;1;1;Paris
16138;Saint-Cloud - Hippodrome;48.85772149;2.254910991;30;1;1;1;Paris
6029;Vaugirard - Monsieur le Prince;48.84895144;2.341132946;26;1;1;1;Paris
21216;Louis Lejeune - Barbès;48.81807419;2.326700985;25;1;1;1;Montrouge
44017;Jules Guesde - Pont du Port à l'Anglais;48.79628807;2.417212129;30;1;1;1;Vitry-sur-Seine
15068;Général Martial Valin - Pont du Garigliano;48.83823094;2.270506024;16;1;1;1;Paris
2017;Caire - Dussoubs;48.86785342;2.349364311;40;1;1;1;Paris
7004;Raspail - Varenne;48.85314782;2.32639052;18;1;1;1;Paris
9008;Tour d'Auvergne - Rodier;48.879161;2.343698;17;1;1;1;Paris
92002;Théâtre des Amandiers - Palais des sports;48.89264853;2.213694155;24;1;1;1;Nanterre
8048;Marceau - Chaillot;48.86883395;2.298996784;21;1;1;1;Paris
19027;Serrurier;48.8804934;2.398064174;18;1;1;1;Paris
